rank,institution
1,University of Toronto
2,McGill University
3,University of Alberta
4,Simon Fraser University
5,Université Laval
6,University of Montreal
7,University of British Columbia
8,University of Waterloo
9,York University
10,Memorial University of Newfoundland
10,University of Calgary
12,University of Ottawa
13,University of Manitoba
14,Toronto Metropolitan University
14,Université du Québec à Montréal
16,Queen’s University
16,University of Victoria
