rank,institution
1,McGill University
2,University of Toronto
3,University of Alberta
4,University of Waterloo
5,University of British Columbia
6,University of Montreal
7,Simon Fraser University
8,Queen’s University
9,University of Ottawa
10,York University
11,University of New Brunswick
12,Carleton University
13,Western University
14,Polytechnique Montreal
15,Brock University
16,Université du Québec à Montréal
17,Dalhousie University
18,University of Regina
